Partlist

Exported from hap.brd at 16-8-2016 12:26:38

EAGLE Version 7.1.0 Copyright (c) 1988-2014 CadSoft

Assembly variant: 

Part     Value                 Package            Library                       Position (mm)         Orientation
SJ101    SOLDERJUMPER_NC       SJ_2S_NC           gknff                         (37.2 37.5)           MR0
SJ102    SOLDERJUMPER_NO       SJ_2S_NO           gknff                         (46.4 31.4)           MR90
SJ103    SOLDERJUMPER_NC       SJ_2S_NC           gknff                         (57.8 44.7)           MR270
SJ104    SOLDERJUMPER_NC       SJ_2S_NC           gknff                         (32.6 60.5)           MR90
SJ105    SOLDERJUMPER_NC       SJ_2S_NC           gknff                         (31.95 35.6)          MR180
T101     DTC114YE              SC-75-3            gknff                         (44.8 34.45)          R0
T201     DTC114YE              SC-75-3            gknff                         (7.9 140.9)           R0
TP1      TEST-POINT3           PAD.03X.03         SparkFun-Passives             (31 138.5)            R0
TP2      TEST-POINT3           PAD.03X.03         SparkFun-Passives             (39.7 139.5)          R0
U101     XC6220                SOT23-5            SparkFun-PowerIC              (39.96 57.86)         R0
U102     MCP73831              SOT23-5            SparkFun-PowerIC              (38.3 41.1)           R90
U201     MICRO-SIM             MICRO-SIM          GPRSbee                       (46 136.8)            MR180
U301     TPS61200              QFN-10_PAD         SparkFun                      (54.4 42.7)           R180
X101     32.768 kHz            2P-SMD-3.2X1.5     Seeed_Discrete                (19.9 54.5)           R225
X301     32.768 kHz            2P-SMD-3.2X1.5     Seeed_Discrete                (24.7 25.7)           R90
X302     16MHz                 CRYSTAL-SMD-5X3    SparkFun-FreqCtrl             (21.6 30.1)           R90
Z101     CG0402MLC-05LG        0402-RES           SparkFun-DiscreteSemi         (47.95 7.85)          R270
Z102     CG0402MLC-05LG        0402-RES           SparkFun-DiscreteSemi         (45.4 7.85)           R270
